latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
46.11930367222222,7.020778838888889,976.0958,13.97833,71,2022,-913108.808
46.119301725,7.020774927777778,976.1089,13.97861,71,2022,-913346.470
46.11929949722222,7.020770911111111,976.1631,13.97889,71,2022,-913582.591
46.119298158333336,7.020767211111111,976.0953,13.97917,71,2022,-913828.466
46.119296544444445,7.02076331111111,976.1093,13.97944,71,2022,-914064.355
46.11929485555556,7.020759516666667,976.1022,13.97972,71,2022,-914299.211
46.11929278611111,7.020755730555555,976.1158,13.98000,71,2022,-914536.779
46.119291083333344,7.020752169444444,976.0897,13.98028,71,2022,-914776.877
46.119289252777776,7.0207484749999995,976.0837,13.98056,71,2022,-915016.010
46.11928745,7.0207448333333335,976.0696,13.98083,71,2022,-915253.608
46.119285677777775,7.020741394444444,976.0365,13.98111,71,2022,-915492.485
46.11928414166667,7.020738238888889,975.9439,13.98139,71,2022,-915735.300
46.119282644444446,7.020735230555555,975.9322,13.98167,71,2022,-915975.305
46.11928100833333,7.020732194444444,975.8559,13.98194,71,2022,-916212.954
46.11927935833334,7.020729230555555,975.7785,13.98222,71,2022,-916451.764
46.119277652777775,7.020726327777778,975.7001,13.98250,71,2022,-916689.806
46.11927591944445,7.020723483333334,975.6246,13.98278,71,2022,-916928.105
46.11927414722223,7.020720744444445,975.5587,13.98306,71,2022,-917165.879
46.119272361111115,7.020718080555556,975.5038,13.98333,71,2022,-917404.919
46.119270533333335,7.020715466666666,975.4513,13.98361,71,2022,-917642.936
46.11926867222222,7.020712905555555,975.3983,13.98389,71,2022,-917879.651
46.11926669166667,7.020710305555555,975.3752,13.98417,71,2022,-918114.969
46.11926473333333,7.020707741666667,975.3463,13.98444,71,2022,-918353.606
46.11926276111111,7.020705252777778,975.327,13.98472,71,2022,-918593.423
46.11926048055555,7.020702683333333,975.3594,13.98500,71,2022,-918828.969
46.11925823055557,7.020700169444444,975.453,13.98528,71,2022,-919067.096
